time	V(output)
Step Information: Lval=60n Wval=10µ  (Step: 1/25)
0.000000000000000e+00	5.000000e+00
3.199999991920777e-05	5.000000e+00
6.399999983841553e-05	4.990630e+00
1.279999996768311e-04	4.830000e+00
2.256562496768311e-04	4.200059e+00
2.378632809268311e-04	3.598274e+00
2.622773434268311e-04	1.226001e+00
2.683808590518311e-04	8.478652e-01
2.805878903018311e-04	6.487262e-01
3.050019528018311e-04	3.675648e-01
3.111054684268311e-04	3.159870e-01
3.233124996768311e-04	2.430476e-01
3.477265621768311e-04	1.437177e-01
3.965546871768311e-04	2.034544e-02
4.023437500000000e-04	1.211439e-02
4.139218756463379e-04	5.722524e-03
4.370781269390137e-04	7.852971e-04
4.536874974146485e-04	2.457666e-10
5.000000000000000e-04	2.286672e-10
5.500858595491304e-03	2.291251e-10
5.518030505317390e-03	2.387960e-10
5.536347209131882e-03	2.073693e-05
5.572980616760865e-03	1.745584e-02
5.646247432018831e-03	3.090744e-01
5.743903682018830e-03	1.226264e+00
5.745429560925081e-03	1.282917e+00
5.748481318737580e-03	1.499151e+00
5.749244258190706e-03	1.577118e+00
5.749434993053987e-03	1.607818e+00
5.749816462780549e-03	1.691901e+00
5.749935672070100e-03	1.733760e+00
5.749983355785920e-03	1.767666e+00
5.749999002005173e-03	1.791469e+00
5.749999979893877e-03	1.798939e+00
5.750000003176941e-03	1.807665e+00
5.750001003176942e-03	2.797779e+00
5.750001128176942e-03	2.987731e+00
5.750001378176941e-03	3.211692e+00
5.750001385989441e-03	3.211426e+00
5.750033370364441e-03	3.247656e+00
5.750129370364441e-03	3.293163e+00
5.750513370364441e-03	3.383018e+00
5.751025370364441e-03	3.455654e+00
5.752049370364441e-03	3.554759e+00
5.754097370364441e-03	3.687613e+00
5.758193370364441e-03	3.864190e+00
5.766385370364441e-03	4.091275e+00
5.782769370364441e-03	4.364443e+00
5.815537370364441e-03	4.706033e+00
5.823729370364441e-03	4.763427e+00
5.840113370364441e-03	4.836307e+00
5.872881370364441e-03	4.921540e+00
5.938417370364441e-03	4.986836e+00
6.000000000000000e-03	5.000000e+00
1.000000000000000e-02	5.000000e+00
1.001727712854854e-02	5.000000e+00
1.003702241831831e-02	4.999900e+00
1.007651299785784e-02	4.976945e+00
1.015549415693690e-02	4.850039e+00
1.016770118818690e-02	4.804069e+00
1.019211525068690e-02	4.588810e+00
1.024094337568690e-02	3.903382e+00
1.024246925459315e-02	3.858391e+00
1.024628395185878e-02	3.677180e+00
1.024819130049159e-02	3.540666e+00
1.024914497480800e-02	3.437924e+00
1.024962181196620e-02	3.359811e+00
1.024986023054530e-02	3.297225e+00
1.024998540029933e-02	3.231604e+00
1.024999999732550e-02	3.200417e+00
1.025000100023588e-02	2.203079e+00
1.025000112523588e-02	2.013733e+00
1.025000137523588e-02	1.789872e+00
1.025000138304838e-02	1.789879e+00
1.025001736742338e-02	1.765526e+00
1.025006536742338e-02	1.733506e+00
1.025012936742338e-02	1.706838e+00
1.025025736742338e-02	1.669351e+00
1.025051336742338e-02	1.617315e+00
1.025102536742338e-02	1.545818e+00
1.025204936742338e-02	1.447327e+00
1.025409736742338e-02	1.313335e+00
1.025819336742338e-02	1.135809e+00
1.026638536742338e-02	9.087237e-01
1.028276936742338e-02	6.355572e-01
1.031553736742338e-02	2.939675e-01
1.032372936742338e-02	2.365730e-01
1.034011336742338e-02	1.636928e-01
1.037288136742338e-02	7.846025e-02
1.043841736742338e-02	1.316394e-02
1.050000000000000e-02	2.286672e-10
1.550000000000000e-02	2.286672e-10
1.551440874431895e-02	2.367151e-10
1.553362040341087e-02	9.723964e-06
1.557204372159473e-02	1.885726e-02
1.564889035796244e-02	3.506407e-01
1.574654660796244e-02	1.380990e+00
1.574807248686869e-02	1.449599e+00
1.574845395659526e-02	1.484700e+00
1.574921689604838e-02	1.572738e+00
1.574940763091166e-02	1.602441e+00
1.574978910063823e-02	1.682292e+00
1.574990830992778e-02	1.720201e+00
1.574996791457255e-02	1.753272e+00
1.574999771689494e-02	1.787277e+00
1.574999999863525e-02	1.799447e+00
1.575000000154564e-02	1.800562e+00
1.575000100154563e-02	2.797739e+00
1.575000112654563e-02	2.987699e+00
1.575000137654563e-02	3.211687e+00
1.575000138435814e-02	3.211423e+00
1.575003336873313e-02	3.247655e+00
1.575012936873314e-02	3.293163e+00
1.575051336873314e-02	3.383018e+00
1.575102536873314e-02	3.455653e+00
1.575204936873313e-02	3.554759e+00
1.575409736873314e-02	3.687612e+00
1.575819336873313e-02	3.864190e+00
1.576638536873314e-02	4.091275e+00
1.578276936873314e-02	4.364443e+00
1.581553736873314e-02	4.706032e+00
1.582372936873314e-02	4.763427e+00
1.584011336873314e-02	4.836307e+00
1.587288136873314e-02	4.921540e+00
1.593841736873314e-02	4.986836e+00
1.600000000000000e-02	5.000000e+00
2.000000000000000e-02	5.000000e+00
2.001727734095034e-02	5.000000e+00
2.003702287346501e-02	4.999900e+00
2.007651393849435e-02	4.976943e+00
2.015549606855303e-02	4.850031e+00
2.016770309980303e-02	4.804059e+00
2.019211716230302e-02	4.588789e+00
2.024094528730302e-02	3.903313e+00
2.024247116620927e-02	3.858316e+00
2.024628586347490e-02	3.677063e+00
2.024819321210771e-02	3.540491e+00
2.024914688642412e-02	3.437660e+00
2.024962372358232e-02	3.359401e+00
2.024986214216142e-02	3.296513e+00
2.024998731191545e-02	3.229158e+00
